ModuleName,Template,template-is-different,type-solvable-difference,type-unsolvable-difference,extra-parameter,missing-parameter,function-missing,function-extra,function-overloading-difference,export-assignment-is-different
ip-subnet-calculator,module,0,7,2,0,0,0,4,0,0
iri,module,0,0,0,0,0,2,2,0,0
irc,module,0,0,0,0,0,0,11,0,0
is-absolute,module-function,0,0,0,0,0,0,0,0,1
is-base64,module-function,0,0,1,0,0,0,0,0,1
is-dotfile,module-function,0,0,0,0,0,0,0,0,1
is-dotdir,module-function,0,0,0,0,0,0,0,0,1
is-even,module-function,0,0,0,0,0,0,0,0,1
is-function,module-function,0,1,0,0,0,0,0,0,1
is-finite,module-function,0,0,0,0,1,0,0,0,1
is-generator,module-function,0,0,1,0,0,0,0,0,1
is-generator-function,module-function,0,0,1,0,0,0,0,0,1
is-git-url,module-function,0,0,0,0,0,0,0,0,1
is-glob,module-function,0,1,1,0,0,0,0,0,1
is-integer,module-function,0,1,0,0,0,0,0,0,1
is-negated-glob,module-function,0,0,0,0,0,0,0,0,1
is-number-like,module-function,0,1,0,0,0,0,0,0,1
is-object,module-function,0,1,0,0,0,0,0,0,1
is-number,module-function,0,1,0,0,0,0,0,0,1
is-odd,module-function,0,0,0,0,0,0,0,0,1
is-running,module-function,0,0,0,0,0,0,0,0,1
is-typedarray,module-function,1,0,0,0,0,0,0,0,0
is-unc-path,module-function,0,0,0,0,0,0,0,0,1
is-url,module-function,0,0,1,0,0,0,0,0,1
is-utf8,module-function,1,0,0,0,0,0,0,0,0
is-valid-domain,module-function,0,0,1,0,1,0,0,0,1
is-valid-path,module-function,0,0,1,0,0,0,0,0,1
is-valid-zipcode,module-function,0,1,0,0,0,0,0,0,1
is-valid-glob,module-function,0,1,0,0,0,0,0,0,1
isarray,module-function,0,0,0,0,1,0,0,0,1
is-windows,module-function,0,0,0,0,0,0,0,0,1
isbn-utils,module,0,2,0,0,0,3,0,0,0
isstream,module-function,1,0,0,0,0,0,0,0,0
jalaali-js,module,0,0,4,2,0,0,0,1,0
isomorphic-form-data,module,1,0,0,0,0,0,0,0,0
jackrabbit,module,1,0,0,0,0,0,0,0,0
jest-image-snapshot,module,0,0,0,0,0,3,2,0,0
jfs,module,1,0,0,0,0,0,0,0,0
jju,module,0,0,0,0,0,8,2,0,0
jjv,module-function,0,0,0,0,0,0,0,0,1
jest-preset-stylelint,module,0,0,0,0,0,0,2,0,0
js-quantities,module,0,0,0,0,0,0,2,0,0
js-string-escape,module-function,1,0,0,0,0,0,0,0,0
jsdoc-to-markdown,module,1,0,0,0,0,0,0,0,0
jsbn,module,0,0,0,0,0,0,2,0,0
jsend,module,0,0,0,0,0,0,7,0,0
json-bigint,module,1,0,0,0,0,0,0,0,0
json-dup-key-validator,module,1,0,0,0,0,0,0,0,0
json-diff,module,1,0,0,0,0,0,0,0,0
json-stable-stringify,module-function,0,1,1,0,0,0,0,0,1
json-templates,module-function,0,1,0,3,0,0,0,0,1
json-stringify-safe,module-function,0,4,0,0,0,0,0,0,1
json2mq,module-function,0,0,1,0,0,0,0,0,1
json2md,module-function,0,0,1,1,0,0,0,0,1
jsonapi-serializer,module,0,0,0,0,0,0,4,0,0
jsonfile,module,0,1,2,0,2,6,2,0,0
jsonlines,module,1,0,0,0,0,0,0,0,0
jsonpack,module,0,0,0,0,1,2,0,0,0
jsonp,module-function,1,0,0,0,0,0,0,0,0
jsonquery,module-function,0,0,1,2,0,0,0,0,1
jsontoxml,module-function,0,4,0,0,4,0,0,0,1
jspath,module,0,0,0,0,0,1,0,0,0
jsreport-core,module-function,1,0,0,0,0,0,0,0,0
jsreport-jsrender,module-function,0,0,0,3,0,0,0,0,1
jsum,module,0,0,0,0,0,2,0,0,0
jwk-to-pem,module-function,0,0,3,1,3,0,0,1,1
jwt-simple,module,0,2,0,1,0,0,0,0,0
jxon,module,0,12,0,0,0,7,0,0,0
karma-nyan-reporter,module,0,0,0,0,0,0,1,0,0
kcors,module-function,1,0,0,0,0,0,0,0,0
keyboardjs,module,1,0,0,0,0,0,0,0,0
